,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,name_y
0,1,1,1,39,1:27.452,218.300,Hamilton,Finished,2008,Australian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
1,5,3,5,43,1:27.418,218.385,Kovalainen,Finished,2008,Australian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
2,27,9,5,53,1:35.462,209.033,Hamilton,Finished,2008,Malaysian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
3,25,8,3,19,1:35.922,208.031,Kovalainen,Finished,2008,Malaysian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
4,69,5,3,20,1:22.017,204.323,Hamilton,Finished,2008,Spanish Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
5,83,6,17,19,1:22.453,203.243,Kovalainen,Accident,2008,Spanish Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
6,90,3,2,31,1:26.529,222.085,Hamilton,Finished,2008,Turkish Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
7,100,2,12,55,1:27.640,219.269,Kovalainen,+1 Lap,2008,Turkish Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
8,109,3,1,71,1:18.510,153.152,Hamilton,Finished,2008,Monaco Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
9,116,4,8,74,1:17.282,155.586,Kovalainen,Finished,2008,Monaco Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
10,158,13,10,40,1:17.453,205.022,Hamilton,Finished,2008,French Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
11,152,10,4,46,1:17.134,205.870,Kovalainen,Finished,2008,French Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
12,169,4,1,16,1:32.817,199.398,Hamilton,Finished,2008,British Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
13,173,1,5,17,1:33.130,198.728,Kovalainen,+1 Lap,2008,British Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
14,189,1,1,17,1:16.039,216.552,Hamilton,Finished,2008,German Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
15,193,3,5,63,1:16.495,215.261,Kovalainen,Finished,2008,German Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
16,213,1,5,15,1:21.493,193.533,Hamilton,Finished,2008,Hungarian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
17,209,2,1,19,1:21.753,192.917,Kovalainen,Finished,2008,Hungarian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
18,230,2,2,16,1:38.884,197.285,Hamilton,Finished,2008,European Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
19,232,5,4,19,1:39.112,196.831,Kovalainen,Finished,2008,European Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
20,251,1,3,20,1:48.135,233.175,Hamilton,Finished,2008,Belgian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
21,258,3,10,35,1:48.223,232.985,Kovalainen,Gearbox,2008,Belgian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
22,275,15,7,52,1:29.721,232.440,Hamilton,Finished,2008,Italian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
23,270,2,2,53,1:30.300,230.950,Kovalainen,Finished,2008,Italian Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
24,291,2,3,14,1:46.072,171.969,Hamilton,Finished,2008,Singapore Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
25,298,5,10,14,1:47.337,169.943,Kovalainen,Finished,2008,Singapore Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
26,320,1,12,65,1:19.560,206.470,Hamilton,Finished,2008,Japanese Grand Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,McLaren
